Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,Attend.,Notes,win,lose,probability
Tue May 7 2019,8:00p,Philadelphia 76ers,89,Toronto Raptors,89,20287,nan,Toronto Raptors,Philadelphia 76ers,0.796037822
Sun May 12 2019,7:00p,Philadelphia 76ers,90,Toronto Raptors,90,20917,nan,Toronto Raptors,Philadelphia 76ers,0.796037822
Sat May 18 2019,9:00p,Golden State Warriors,110,Portland Trail Blazers,110,20214,nan,Golden State Warriors,Portland Trail Blazers,0.788057761
Mon May 20 2019,9:00p,Golden State Warriors,119,Portland Trail Blazers,119,20064,nan,Golden State Warriors,Portland Trail Blazers,0.788057761
Tue May 14 2019,9:00p,Portland Trail Blazers,94,Golden State Warriors,94,19596,nan,Golden State Warriors,Portland Trail Blazers,0.775419812
Thu May 16 2019,9:00p,Portland Trail Blazers,111,Golden State Warriors,111,19596,nan,Golden State Warriors,Portland Trail Blazers,0.775419812
Thu May 2 2019,8:00p,Toronto Raptors,95,Philadelphia 76ers,95,20658,nan,Toronto Raptors,Philadelphia 76ers,0.738838968
Sun May 5 2019,3:30p,Toronto Raptors,101,Philadelphia 76ers,101,20639,nan,Toronto Raptors,Philadelphia 76ers,0.738838968
Thu May 9 2019,8:00p,Toronto Raptors,101,Philadelphia 76ers,101,20525,nan,Toronto Raptors,Philadelphia 76ers,0.738838968
Sun May 19 2019,7:00p,Milwaukee Bucks,112,Toronto Raptors,112,19923,nan,Toronto Raptors,Milwaukee Bucks,0.714543855
Tue May 21 2019,8:30p,Milwaukee Bucks,102,Toronto Raptors,102,20237,nan,Toronto Raptors,Milwaukee Bucks,0.714543855
Sat May 25 2019,8:30p,Milwaukee Bucks,94,Toronto Raptors,94,20478,nan,Toronto Raptors,Milwaukee Bucks,0.714543855
Wed May 8 2019,10:30p,Houston Rockets,99,Golden State Warriors,99,19596,nan,Golden State Warriors,Houston Rockets,0.685647203
Thu May 30 2019,9:00p,Golden State Warriors,109,Toronto Raptors,109,19983,nan,Golden State Warriors,Toronto Raptors,0.674862543
Sat May 4 2019,8:30p,Golden State Warriors,121,Houston Rockets,121,18169,nan,Golden State Warriors,Houston Rockets,0.671504682
Mon May 6 2019,9:30p,Golden State Warriors,108,Houston Rockets,108,18055,nan,Golden State Warriors,Houston Rockets,0.671504682
Fri May 10 2019,9:00p,Golden State Warriors,118,Houston Rockets,118,18055,nan,Golden State Warriors,Houston Rockets,0.671504682
Wed May 15 2019,8:30p,Toronto Raptors,100,Milwaukee Bucks,100,17345,nan,Toronto Raptors,Milwaukee Bucks,0.647651513
Fri May 17 2019,8:30p,Toronto Raptors,103,Milwaukee Bucks,103,17570,nan,Toronto Raptors,Milwaukee Bucks,0.647651513
Thu May 23 2019,8:30p,Toronto Raptors,105,Milwaukee Bucks,105,17384,nan,Toronto Raptors,Milwaukee Bucks,0.647651513
Fri May 3 2019,8:00p,Milwaukee Bucks,123,Boston Celtics,123,18624,nan,Boston Celtics,Milwaukee Bucks,0.64689152
Mon May 6 2019,7:00p,Milwaukee Bucks,113,Boston Celtics,113,18624,nan,Boston Celtics,Milwaukee Bucks,0.64689152
Wed May 8 2019,8:00p,Boston Celtics,91,Milwaukee Bucks,91,17701,nan,Boston Celtics,Milwaukee Bucks,0.624530311
Fri May 3 2019,10:30p,Denver Nuggets,137,Portland Trail Blazers,137,20193,nan,Portland Trail Blazers,Denver Nuggets,0.56492822
Sun May 5 2019,7:00p,Denver Nuggets,116,Portland Trail Blazers,116,20146,nan,Portland Trail Blazers,Denver Nuggets,0.56492822
Thu May 9 2019,10:30p,Denver Nuggets,108,Portland Trail Blazers,108,20022,nan,Portland Trail Blazers,Denver Nuggets,0.56492822
Wed May 1 2019,9:00p,Portland Trail Blazers,97,Denver Nuggets,97,19520,nan,Portland Trail Blazers,Denver Nuggets,0.543941674
Tue May 7 2019,10:30p,Portland Trail Blazers,98,Denver Nuggets,98,19520,nan,Portland Trail Blazers,Denver Nuggets,0.543941674
Sun May 12 2019,3:30p,Portland Trail Blazers,100,Denver Nuggets,100,19725,nan,Portland Trail Blazers,Denver Nuggets,0.543941674
